,Open time,Date,Open,High,Low,Close,Volume
1250,1532879160000,2018-07-29_15:46:00,8222.88,8235.67,8161.04,8205.7,3621.0639429999997
1251,1532893560000,2018-07-29_19:46:00,8205.18,8278.78,8170.72,8242.89,3525.878600000001
1252,1532907960000,2018-07-29_23:46:00,8245.05,8273.0,8070.0,8201.26,6718.244415000001
1253,1532922360000,2018-07-30_03:46:00,8204.26,8211.74,8125.0,8148.6,3776.895373000002
1254,1532936760000,2018-07-30_07:46:00,8149.43,8188.88,8126.31,8135.99,3858.506033999999
1255,1532951160000,2018-07-30_11:46:00,8135.0,8211.74,8089.37,8133.62,5522.280472
1256,1532965560000,2018-07-30_15:46:00,8143.99,8144.0,7866.0,8090.6,12947.047213000003
1257,1532979960000,2018-07-30_19:46:00,8093.67,8200.0,8068.09,8171.7,6960.357682000001
1258,1532994360000,2018-07-30_23:46:00,8174.44,8200.0,8103.01,8134.8,3670.336651999999
1259,1533008760000,2018-07-31_03:46:00,8132.38,8155.97,8088.14,8129.37,4025.8012639999984
1260,1533023160000,2018-07-31_07:46:00,8128.73,8131.0,7927.0,8014.3,9194.870567000005
1261,1533037560000,2018-07-31_11:46:00,8007.92,8015.0,7656.74,7753.32,15757.59292500001
1262,1533051960000,2018-07-31_15:46:00,7749.48,7840.0,7687.0,7744.86,8373.230579000003
1263,1533066360000,2018-07-31_19:46:00,7750.73,7777.0,7633.0,7755.59,7152.96533
1264,1533080760000,2018-07-31_23:46:00,7754.69,7777.0,7501.0,7541.0,9177.536001000002
1265,1533095160000,2018-08-01_03:46:00,7544.27,7580.0,7464.81,7543.88,7411.828291000001
1266,1533109560000,2018-08-01_07:46:00,7541.99,7660.95,7522.0,7549.0,7226.777052999999
1267,1533123960000,2018-08-01_11:46:00,7549.99,7637.0,7547.95,7601.3,5522.814621000001
1268,1533138360000,2018-08-01_15:46:00,7601.02,7614.99,7529.63,7569.34,5037.737051000003
1269,1533152760000,2018-08-01_19:46:00,7572.5,7636.69,7430.0,7592.56,8432.325554000001
1270,1533167160000,2018-08-01_23:46:00,7592.9,7709.46,7590.33,7645.0,6974.843555000002
1271,1533181560000,2018-08-02_03:46:00,7644.51,7699.0,7617.31,7670.96,5216.214814999999
1272,1533195960000,2018-08-02_07:46:00,7670.93,7675.0,7544.13,7559.0,6013.206681000004
1273,1533210360000,2018-08-02_11:46:00,7568.01,7577.83,7469.64,7518.8,7152.298426
1274,1533224760000,2018-08-02_15:46:00,7521.0,7596.2,7455.72,7538.01,7064.868003999999
1275,1533239160000,2018-08-02_19:46:00,7537.63,7575.0,7516.92,7543.08,5010.343709999997
1276,1533253560000,2018-08-02_23:46:00,7540.04,7544.06,7311.1,7337.89,7724.415375999995
1277,1533267960000,2018-08-03_03:46:00,7340.81,7384.99,7282.44,7359.96,7515.230856000003
1278,1533282360000,2018-08-03_07:46:00,7369.77,7425.9,7323.89,7362.0,5954.1533549999995
1279,1533296760000,2018-08-03_11:46:00,7343.61,7499.0,7340.69,7468.98,8470.065592000003
1280,1533311160000,2018-08-03_15:46:00,7467.95,7540.0,7359.85,7392.0,9465.764594999999
1281,1533325560000,2018-08-03_19:46:00,7393.74,7447.0,7358.0,7425.5,5685.859329000002
1282,1533339960000,2018-08-03_23:46:00,7426.22,7494.81,7386.46,7452.0,4788.259970000004
1283,1533354360000,2018-08-04_03:46:00,7452.13,7468.57,7412.0,7440.99,3659.948968999999
1284,1533368760000,2018-08-04_07:46:00,7441.94,7482.65,7375.26,7410.92,5602.201842999999
1285,1533383160000,2018-08-04_11:46:00,7407.96,7416.74,6951.0,7007.68,14728.021750000009
1286,1533397560000,2018-08-04_15:46:00,6997.0,7039.0,6926.0,6994.6,5659.290342000001
1287,1533411960000,2018-08-04_19:46:00,6991.17,7049.37,6970.0,6998.81,2116.4444220000005
